run_id, shf_land, shf_sea, ug_surface, vg_surface, pt_surface
1, 0.0902055901949522, 0.0906884451940285, 2.3623310002070688, 2.598010415508693, 275.19125011213134
2, 0.222333316168377, -0.0230342857718871, 1.1774469069816251, 4.245750939505372, 274.86333847740684
3, 0.094461157553355, -0.0228853837478587, 4.493105167726041, 5.614623182419527, 275.05430830911496
4, 0.1047932460746287, 0.0285321306913531, 6.022647047414488, 5.4298761153941895, 274.9601775192091
5, 0.1470662187200224, 0.0034170777491258, 3.862871905575326, 5.483067337995915, 274.88972762885896
6, 0.1227472925205677, 0.0475673039741012, 3.293730095257636, 6.659552333286936, 274.80401067227365
7, 0.1135699653314276, -0.1453486574651431, -1.4926233769245256, 3.038731824892691, 275.0504025144617
8, 0.1743981059842692, -0.0626869318234533, 5.509643307418808, 6.174740055639914, 274.51564860089127
9, 0.0988708761917136, -0.0876428024761564, 7.1219834167657705, 4.673893636893932, 274.87745784448657
10, 0.1328865393924679, -0.0055544067906456, 3.022367420919157, 3.903452051987955, 274.9595836031357
11, 0.1099878938578592, -0.0462612643487365, 7.696238428195276, 6.687138154629395, 274.81521484857564
12, 0.1210461427085314, 0.0269156292637889, 4.289794097410689, 7.042093490151652, 274.66253408767943
13, 0.0382571676194085, 0.0482085631251248, 0.942305726211946, -0.7592965291487601, 275.59819990827737
14, 0.1256567123418723, -0.0397172487867722, 3.139052559871688, 2.941013884500552, 275.104686999027
15, 0.0957995232372202, -0.0209067559764776, 3.275838434953043, 3.18210703941006, 274.9315781629715
16, 0.1766648836657047, 0.0021954016624071, -0.2026389432496634, 3.118681319157284, 274.15601241969773
17, 0.1439796331377096, -0.0711816824878969, 1.0708360822996466, 3.2988291756596357, 274.9161438550367
18, 0.1271516931452799, 0.0322372569484004, 1.529736446480923, 4.557308291222902, 274.61602146879613
19, 0.1655770861913592, 0.0012728660256878, 7.079605727288161, 6.699078378742345, 274.9154447303449
20, 0.1350932391490597, -0.0222672798218853, 2.8427091208474167, 3.638622680516219, 274.8557443554065
21, 0.0874083450751397, -0.0726571768478291, 4.955688830670254, 7.608637314576956, 274.94821718757333
22, 0.0839036204407077, -0.0609417678645097, 3.911053800558105, 6.189129192836339, 275.3052258593104
23, 0.0993969452578619, 0.1253290483835431, 1.4232073853961549, 3.04253374033112, 274.9393193741838
24, 0.1208708294385381, -0.059295493704233, 3.787528158001592, 4.116401793278858, 274.9883449787714
25, 0.1280574473441509, -0.0251807237987754, 2.9209557453953674, 5.009066363443826, 274.91006764109875
26, 0.1319991274836715, -0.017782386645996, 3.2342206398976394, 5.688343261296624, 275.0037934738835
27, 0.1337709038686938, 0.0069982867040724, 4.164026945434869, 5.0068613579482255, 274.8959426240654
